url,title,content,chunk_number,total_chunks,character_count,content_type
https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#HF.2FTMAH_Processing_Bench,Wet Benches#HF.2FTMAH Processing Bench,"In the lab we have a total of 16 wet benches. They are divided into the following 8 types as listed in the following table of contents. 
## Contents
  * [1 General Information](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#General_Information)
  * [2 Documentation](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#Documentation)
    * [2.1 Std. Operating Procedure (SOP)](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#Std._Operating_Procedure_\(SOP\))
  * [3 Solvent Cleaning Benches](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#Solvent_Cleaning_Benches)
    * [3.1 About](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#About)
    * [3.2 Detailed Specifications](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#Detailed_Specifications)
  * [4 Develop Benches](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#Develop_Benches)
    * [4.1 About](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#About_2)
    * [4.2 Detailed Specifications](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#Detailed_Specifications_2)
  * [5 Spin Coat Benches](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#Spin_Coat_Benches)
    * [5.1 About](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#About_3)
    * [5.2 Detailed Specifications](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#Detailed_Specifications_3)
  * [6 Toxic Corrosive Benches](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#Toxic_Corrosive_Benches)
    * [6.1 About](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#About_4)
    * [6.2 Detailed Specifications](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#Detailed_Specifications_4)
  * [7 Wafer Toxic Corrosive Benches](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#Wafer_Toxic_Corrosive_Benches)
    * [7.1 About](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#About_5)
    * [7.2 Detailed Specifications](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#Detailed_Specifications_5)
  * [8 HF/TMAH Processing Bench](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#HF/TMAH_Processing_Bench)
    * [8.1 About](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#About_6)
    * [8.2 Detailed Specifications](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#Detailed_Specifications_6)
  * [9 Plating Bench](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#Plating_Bench)
    * [9.1 About](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#About_7)
    * [9.2 Detailed Specifications](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#Detailed_Specifications_7)
  * [10 Automated Wet-processing Spinners (POLOS)](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#Automated_Wet-processing_Spinners_\(POLOS\))
    * [10.1 General Information](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#General_Information_2)
    * [10.2 Develop Bench POLOS Spinners](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#Develop_Bench_POLOS_Spinners)
    * [10.3 Solvent Bench POLOS Spinners](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#Solvent_Bench_POLOS_Spinners)
    * [10.4 Acid/Base/HF Bench POLOS Spinners](https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#Acid/Base/HF_Bench_POLOS_Spinners)",1,16,3045,text
https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#HF.2FTMAH_Processing_Bench,Wet Benches#HF.2FTMAH Processing Bench,"## General Information
  * Abandoned glassware will be collected and no returned
  * Containers MUST be labeled with Chemical and User/Group name at **all times**.
  * Another warning about safety gear
  * Built-in Hotplate calibrations done weekly


  

## Documentation
### Std. Operating Procedure (SOP)
  *     * Contains procedures for using benches safely, chemical safety
    * Additional capabilities at the benches (eg. N2 guns, aspirators etc)",2,16,453,text
https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#HF.2FTMAH_Processing_Bench,Wet Benches#HF.2FTMAH Processing Bench,"## Solvent Cleaning Benches
| Solvent Cleaning Benches   
---  
|  [![](https://wiki.nanofab.ucsb.edu/w/images/thumb/2/2d/SolventBench.jpg/300px-SolventBench.jpg)](https://wiki.nanofab.ucsb.edu/wiki/File:SolventBench.jpg)  
---  
| Location  | Bays 5, 6 & 7   
---|---  
Tool Type  |  [Wet Processing](https://wiki.nanofab.ucsb.edu/wiki/Category:Wet_Processing ""Category:Wet Processing"")  
Manufacturer  | Pure Aire Corporation   
Description  | Custom Solvent Wet Bench   
* * *  
Primary Supervisor  |  [Aidan Hopkins](https://wiki.nanofab.ucsb.edu/wiki/Aidan_Hopkins ""Aidan Hopkins"")  
(805) 893-2343   
* * *  
Secondary Supervisor  |  [Mike Day ](https://wiki.nanofab.ucsb.edu/wiki/Mike_Day ""Mike Day"")  
* * *  
Recipes  |",3,16,728,text
https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#HF.2FTMAH_Processing_Bench,Wet Benches#HF.2FTMAH Processing Bench,"### About
The facility contains 4 stainless steel solvent benches for general processing using organic solvents. All solvent waste (except for certain chemicals that are collected) are poured into cups and centrally collected. The benches consist of 2 embedded variable power Crest-ultrasonic units, one kept at 80°C for heating resist strippers and the other kept at room temperature for general solvent work. Laminar flow fume hoods with HEPA filtration. Nitrogen guns are also on both sides of the bench for drying samples. Digital stirring hotplates are included for heating and stirring of resist strippers only (No solvent heating). POLOS spin dryers are included in the benches. All processes are done in user-supplied glassware. Solvents are stored in large steel flammable materials cabinets. Two people may use the bench at a time and protective gear such as proper gloves must be used. Solvents supplied by the laboratory are: Acetone, Methanol, Isopropanol, MIBK, MEK, Toluene, EBR100. PR strippers supplied by the lab are: 1165 (NMP), AZ300T (NMP + TMAH), PRX-127. Other chemicals should be OK'd by laboratory staff prior to use in the laboratory. 
### Detailed Specifications
  * 2 7"" x 10"" Crest Ultrasonic Tanks with heating / variable power
  * 2 Nitrogen guns for sample drying
  * Solvent based processing; **NO SOLVENT HEATING without staff approval.**
    * NMP is ok to heat to 80°C
    * The following should **_never_ be heated**: Acetone, Isopropanol, Methanol, Toluene, Ethanol
  * Organic material removal up to 80°C
  * Cyanide-based plating and etching (**NO ACIDS** at bench)
  * Digital hot plate stirrers
  * POLOS spin-rinse dryers",4,16,1664,text
https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#HF.2FTMAH_Processing_Bench,Wet Benches#HF.2FTMAH Processing Bench,"## Develop Benches
| Develop Benches   
---  
|  [![](https://wiki.nanofab.ucsb.edu/w/images/thumb/a/a1/DevelopBench.jpg/300px-DevelopBench.jpg)](https://wiki.nanofab.ucsb.edu/wiki/File:DevelopBench.jpg)  
---  
| Location  | Bays 6 & 7   
---|---  
Tool Type  |  [Wet Processing](https://wiki.nanofab.ucsb.edu/wiki/Category:Wet_Processing ""Category:Wet Processing"")  
Manufacturer  | Pure Aire Corporation   
Description  | Custom Developer Bench   
* * *  
Primary Supervisor  |  [Aidan Hopkins](https://wiki.nanofab.ucsb.edu/wiki/Aidan_Hopkins ""Aidan Hopkins"")  
(805) 893-2343   
* * *  
Secondary Supervisor  |  [Mike Day ](https://wiki.nanofab.ucsb.edu/wiki/Mike_Day ""Mike Day"")  
* * *  
Recipes  |",5,16,705,text
https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#HF.2FTMAH_Processing_Bench,Wet Benches#HF.2FTMAH Processing Bench,"### About
The facility contains 3 polypropylene Developing Benches for photolithographic development using TMAH / TEAH / KOH based developers. All is actively neutralized. The benches consist of two sinks with DI water hook ups and industrial water plenum flushes. Laminar flow fume hoods with hepa filtration. Nitrogen guns are also on both sides of the bench for drying samples. Digital hotplates are included for resist post exposure bakes or post develop hard bakes. POLOS spray puddle develop etch systems are included in the benches. All processes are done in user-supplied glassware. Two people may use the bench at a time and protective gear such as proper gloves must be used. Developers supplied by the laboratory include: AZ300MIF (0.26N TMAH developer), MF701 (0.24N TMAH developer), AZ400K (KOH based developer), pre-diluted AZ400K:DI 1:4. Other developers should be OK'd by laboratory staff prior to use in the laboratory. 
### Detailed Specifications
  * 2 Sinks, DI water
  * 2 Nitrogen guns for sample drying
  * **NO SOLVENTS or STRIPPERS** in bench
  * Class 100
  * Hot plates for post bakes
  * POLOS Spray-Puddle-Develop-Rinse-Dry systems
  * Megasonic ultrasonicating water sprayer wand (Bay 7) 
    * Used for wafer surface cleaning
    * Installed on Bay 7 developer POLOS Spinner",6,16,1305,text
https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#HF.2FTMAH_Processing_Bench,Wet Benches#HF.2FTMAH Processing Bench,"## Spin Coat Benches
| Spin Coat Benches   
---  
|  [![](https://wiki.nanofab.ucsb.edu/w/images/thumb/8/81/SpinBench.jpg/300px-SpinBench.jpg)](https://wiki.nanofab.ucsb.edu/wiki/File:SpinBench.jpg)  
---  
| Location  | Bays 6 & 7   
---|---  
Tool Type  |  [Wet Processing](https://wiki.nanofab.ucsb.edu/wiki/Category:Wet_Processing ""Category:Wet Processing"")  
Manufacturer  | Pure Aire Corporation   
Description  | Custom Photoresist Spin Coat Bench   
* * *  
Primary Supervisor  |  [Aidan Hopkins](https://wiki.nanofab.ucsb.edu/wiki/Aidan_Hopkins ""Aidan Hopkins"")  
(805) 893-2343   
* * *  
Secondary Supervisor  |  [Mike Day ](https://wiki.nanofab.ucsb.edu/wiki/Mike_Day ""Mike Day"")  
* * *  
Recipes  |",7,16,712,text
https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#HF.2FTMAH_Processing_Bench,Wet Benches#HF.2FTMAH Processing Bench,"### About
The facility contains 3 stainless steel solvent benches for photoresist spin coating. 
The benches consist each of 2 integrated Headway PWM32 series photoresist spinners. Overhead and foot controls are provided. 8 preprogrammed recipes and 2 user-programmable recipes are offered. Automatic wafer lifting and centering stations are offered for spinning large wafers up to 8” in diameter. 
6” or 8” Cee ultra-flat hotplates with 0.1°C temperature stability are preset for standard resist bake temperatures (90, 95, 100, 105, 110, 115°C). Other user-changeable hot plates are also provided. 
Nitrogen guns are also on both sides of the bench. 
Large resist bottles are stored in a refrigerator amd small user bottles are stored by group in a ventilated steel cabinet. Waste pipets and resist soaked wipes are collected in containers on the fume-hood benches for disposal. 
A [list of stocked resists](https://signupmonkey.ece.ucsb.edu/w/index.php?title=Lithography_Recipes#Chemicals_Stocked_.2B_Datasheets) appears on the [lithography processing](https://wiki.nanofab.ucsb.edu/wiki/Lithography_Recipes ""Lithography Recipes"") web page. Other chemicals should be OK'd by laboratory staff prior to use in the laboratory. 
### Detailed Specifications
  * Hepa filtered laminar flow for Class 100
  * 2 Headway PWM32 spinners per bench, multi-step programming 
    * 8 preset spin programs, 2 user defineable
    * Variety of user-removable wafer chucks for 5 mm x 5 mm pieces to 6” wafers
    * Lifters for large wafer centering
    * Manual dispense of resist with pipettes; particle filtering available
  * Preset 0.1°C stable, ultra-flat hotplates 
    * Bay 6: 90, 95, 105, 110, 115°C
    * Bay 7: 100, 135°C
    * Proximity and Vacuum baking possible, optional lid closure
    * Temperatures checked monthly, ±1°C. Please notify if temperature is out of spec.
  * **NO WAX** on built-in hotplates 
    * Use tin-foil to protect plate before using wax. Wax only allowed on user-variable hotplates.
  * Other hotplates for user defined temperatures",8,16,2055,text
https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#HF.2FTMAH_Processing_Bench,Wet Benches#HF.2FTMAH Processing Bench,"## Toxic Corrosive Benches
| Toxic Corrosive Bench   
---  
|  [![](https://wiki.nanofab.ucsb.edu/w/images/thumb/f/f7/ToxicBench.jpg/300px-ToxicBench.jpg)](https://wiki.nanofab.ucsb.edu/wiki/File:ToxicBench.jpg)  
---  
| Location  | Bay 5   
---|---  
Tool Type  |  [Wet Processing](https://wiki.nanofab.ucsb.edu/wiki/Category:Wet_Processing ""Category:Wet Processing"")  
Manufacturer  | Pure Aire Corporation   
Description  | Custom Acid Wet Bench   
* * *  
Primary Supervisor  |  [Aidan Hopkins](https://wiki.nanofab.ucsb.edu/wiki/Aidan_Hopkins ""Aidan Hopkins"")  
(805) 893-2343   
* * *  
Secondary Supervisor  |  [Mike Day ](https://wiki.nanofab.ucsb.edu/wiki/Mike_Day ""Mike Day"")  
* * *  
Recipes  |",9,16,707,text
https://wiki.nanofab.ucsb.edu/wiki/Wet_Benches#HF.2FTMAH_Processing_Bench,Wet Benches#HF.2FTMAH Processing Bench,"### About
The facility contains 2 polypropylene toxic corrosive benches for general wet processing using Acids and Bases. All waste (except for certain chemicals that are collected) are actively neutralized. The benches consist of two sinks with DI water hook ups and industrial water plenum flushes. Laminar flow fume hoods with hepa filtration. Nitrogen guns are also on both sides of the bench for drying samples. Digital stirring hotplates and/or small benchtop ultrasonic units are included for agitation and heating during the process on select benches. POLOS spin rinse dryers or spray puddle etch systems are included in the benches. Custom-built spray etchers (with bench supplied nitrogen) can also be used. Commonly used acids and bases such as H2O2, NH4OH, HCl, H2SO4, and H3PO4 can be dispensed into glassware using pipets connected to small bottles in the process wells at the back of the bench. All processes are done in user-supplied glassware. Acids and Bases are stored in separate cabinets and collection/disposal policies are posted. Two people may use the bench at a time and protective gear such as proper gloves must be used. Acids supplied by the laboratory are: H2SO4, HNO3, H3PO4, 1.0 M Citric Acid, Acetic Acid, HCl, Chrome mask etchant, Aluminum Etchants A and D, Gold Etchant (TFA), and Nickel Etchant (TFB). Bases supplied by the lab are: NH4OH, NaOH, KOH, and H2O2. Other chemicals should be OK'd by laboratory staff prior to use in the laboratory. 
### Detailed Specifications
  * 2 Sinks, DI water
  * 2 Nitrogen guns for sample drying
  * Digital hot-plate stirrers
  * Ultrasonic Baths
  * **NO SOLVENTS**
  * HF & TMAH NOT permitted at these benches
  * POLOS Spray-Spin-Rinse systems
  * HEPA Filtered Laminar Flow Hoods",10,16,1757,text
