"page_url","page_name","has_tables","table_number","tables_markdown"
"https://wiki.nanofab.ucsb.edu/wiki/4-Point_Probe_Resistivity_Mapper","4-Point_Probe_Resistivity_Mapper","no","no_tables",""
"https://wiki.nanofab.ucsb.edu/wiki/ADT_7100_-_Initial_Setup_Before_Cutting","ADT_7100_-_Initial_Setup_Before_Cutting","no","no_tables",""
"https://wiki.nanofab.ucsb.edu/wiki/ADT_7100_-_Recovering_an_Old_Recipe_(2019)","ADT_7100_-_Recovering_an_Old_Recipe__2019_","no","no_tables",""
"https://wiki.nanofab.ucsb.edu/wiki/ADT_UV-Tape_Table_1042R","ADT_UV-Tape_Table_1042R","no","no_tables",""
"https://wiki.nanofab.ucsb.edu/wiki/AFM-based_Nanolithography_Tool_(NanoMan)","AFM-based_Nanolithography_Tool__NanoMan_","no","no_tables",""
"https://wiki.nanofab.ucsb.edu/wiki/ASML_5500:_Choose_Marks_for_Prealignment","ASML_5500__Choose_Marks_for_Prealignment","no","no_tables",""
"https://wiki.nanofab.ucsb.edu/wiki/ASML_5500:_Recovering_from_a_Typo_in_Reticle_ID","ASML_5500__Recovering_from_a_Typo_in_Reticle_ID","no","no_tables",""
"https://wiki.nanofab.ucsb.edu/wiki/ASML_5500:_Recovering_from_an_Error","ASML_5500__Recovering_from_an_Error","no","no_tables",""
"https://wiki.nanofab.ucsb.edu/wiki/ASML_DUV","ASML_DUV","yes","table_1","| opc_mask_correction_ | positive_resist__uv6_0_8___lateral_waveguide_gratings_with_without_opc_on_same_photomask_ | positive_resist__uv6_0_8___lateral_waveguide_gratings_with_without_opc_on_same_photomask_ | [LINEBREAK] | | collaboration_with_photomask_vendor_photronics_inc__ | collaboration_with_photomask_vendor_photronics_inc___1 | [LINEBREAK] |:-------------------------------------|:-----------------------------------------------------------------------------------------------------------------------|:------------------------------------------------------------------------------------------------------------------------------------------| [LINEBREAK] | OPC applies serifs to your patterns. | The Best exposure without OPC corrections; doesn''t meet device criteria. Would require ordering a 2nd mask to correct. | With OPC applied to the patterns; the device criteria (length and spacing) are met on 1st mask rev; and process window is possibly wider. |"
"https://wiki.nanofab.ucsb.edu/wiki/ASML_DUV","ASML_DUV","yes","table_2","| negative_pr__uvn30__asml_duv_with_and_without_same_mb_opc__on_the_same_photomask__applied_to_a_meta_optic_ | negative_pr__uvn30__asml_duv_with_and_without_same_mb_opc__on_the_same_photomask__applied_to_a_meta_optic_ | [LINEBREAK] | fabricated_by_skyler_palatnik__prof__max_millar_blanchaer_s_group_in_collaboration_with_photomask_vendor_photronics_inc_ | fabricated_by_skyler_palatnik__prof__max_millar_blanchaer_s_group_in_collaboration_with_photomask_vendor_photronics_inc__1 | [LINEBREAK] |:---------------------------------------------------------------------------------------------------------------------------|:-------------------------------------------------------------------------------------------------------------------------------| [LINEBREAK] | With OPC applied to mask pattern. Squares and circles with small gaps+small posts are resolved in one exposure. | Without OPC (standard photomask process). No combination of focus/dose can achieve desired results - """"best"""" result shown here. |"
"https://wiki.nanofab.ucsb.edu/wiki/ASML_DUV","ASML_DUV","yes","table_3","| 0 | 1 | [LINEBREAK] |:-------------------------------------------------------------------------------|:--------------------------------------------------------------------------------------------| [LINEBREAK] | Example of Data Table with SEM''s of 320nm features. Click for full data table. | Example SPC Chart - Measured Critical Dimension """"CD"""" versus Date. Click for current charts. |"
"https://wiki.nanofab.ucsb.edu/wiki/ASML_DUV:_Edge_Bead_Removal_via_Photolithography","ASML_DUV__Edge_Bead_Removal_via_Photolithography","yes","table_1","| location_of_our_edge_bead_removal_mask | location_of_our_edge_bead_removal_mask_1 | [LINEBREAK] |:-----------------------------------------------------|:-----------------------------------------------------| [LINEBREAK] | | | [LINEBREAK] | Using the mask on the MA-6 with Flood Exposure mode. | Using the mask on the MA-6 with Flood Exposure mode. | [LINEBREAK] | | |"
"https://wiki.nanofab.ucsb.edu/wiki/ASML_Stepper_3_-_Job_Creator","ASML_Stepper_3_-_Job_Creator","no","no_tables",""
"https://wiki.nanofab.ucsb.edu/wiki/ASML_Stepper_3_-_Substrates_smaller_than_100mm/4-inch","4-inch","yes","table_1","| 0 | [LINEBREAK] |:------------------------------------------------------------------------------------------------------------------------| [LINEBREAK] | Work In Progress This article is still under construction. It may contain factual errors. Content is subject to change. |"
"https://wiki.nanofab.ucsb.edu/wiki/ASML_Stepper_3_-_UCSB_Test_Reticles","ASML_Stepper_3_-_UCSB_Test_Reticles","yes","table_1","| image_id | image_size | image_shift | notes_description | schematics | [LINEBREAK] | | x___y | x___y | | | [LINEBREAK] | | __wafer__mm_ | __wafer__mm_ | | | [LINEBREAK] |:---------------------------------------|:--------------------|:----------------------|:-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:-----------------------------------------------------------------------------------------------------------------------------------------------------------------| [LINEBREAK] | GCA_Align | 0.530000 ; 0.140000 | -6.750000 ; 9.450000 | ImageShift references the center of the -X- """"global"""" mark. The ==||| """"Local"""" mark is X+200µm to the right has 1.1mm margin on all sides | White is Chrome; Pattern is Clear CAD File (GDS):GCA_stepper_align.gds | [LINEBREAK] | E-Beam Litho Alignment Mark - Positive | 0.900000 ; 0.900000 | -6.750000 ; -9.450000 | ImageShift is the center coords of the larger """"+"""" mark Smaller """"+"""" mark is (0.225;-0.225)mm down-right 0.925mm margin on all sides | White is Chrome; Pattern is Clear CAD File (GDS): EBL-GlobalMulti_POS.gds | [LINEBREAK] | E-Beam Litho Alignment Mark - Negative | 0.710000 ; 0.710000 | 6.750000 ; -9.450000 | ImageShift is the center coords of the larger """"+"""" mark Smaller """"+"""" mark is (0.225;-0.225)mm down-right Blank (masked) space on left+top sides 1.0mm margin on all sides | Striped area is Clear CAD File (GDS): EBL-GlobalMulti_NEG.gds | [LINEBREAK] | Contact_Mark | 0.564000 ; 0.564000 | 6.750000 ; 9.450000 | ImageShift references the center of the contact alignment mark """"+"""" with 1.1mm margin on all sides Note the Polarity - will expose a ~550µm area. Contact Demis or Brian for the CAD file for the male/female version of this mark. | White is Chrome; Striped area is Clear CAD File (GDS): Contact-AlignFront.gds Corresponding male/female alignment marks (GDS): MA6-FrontBack_AlignMarks_only.gds |"
